dataset	yaw_per_m	config	keyframes	loops	recall	ate_drift	ate_pgo	spread_drift	spread_pgo
hk_village1	0.0	stock	351	7	1/6	0.0	0.3785	18078	16903
hk_village1	0.0	gated	351	7	1/6	0.0	0.4384	18078	18798
hk_village1	0.0	plane	351	7	1/6	0.0	0.7423	18078	26070
hk_village1	0.0	rust	351	13	2/6	0.0	0.1347	18078	18227
hk_village1	0.5	stock	358	7	0/6	0.7201	0.607	22153	17801
hk_village1	0.5	gated	358	7	0/6	0.7201	0.6931	22153	20103
hk_village1	0.5	plane	358	7	0/6	0.7201	0.6829	22153	21014
hk_village1	0.5	rust	358	13	2/6	0.7201	0.6944	22153	21847
hk_village1	1.0	stock	361	7	1/6	1.4374	1.3104	40960	34392
hk_village1	1.0	gated	361	7	1/6	1.4374	1.3108	40960	34784
hk_village1	1.0	plane	361	7	1/6	1.4374	1.1667	40960	28902
hk_village1	1.0	rust	361	12	1/6	1.4374	1.4474	40960	41630
hk_village1	2.0	stock	364	7	1/6	2.8856	2.3564	82562	65216
hk_village1	2.0	gated	364	7	1/6	2.8856	2.4062	82562	67032
hk_village1	2.0	plane	364	7	1/6	2.8857	2.0885	82562	57123
hk_village1	2.0	rust	364	13	2/6	2.8857	2.8077	82562	80664
hk_village2	0.0	stock	249	6	1/6	0.0	0.2069	45119	43057
hk_village2	0.0	gated	249	6	1/6	0.0	0.1825	45119	43476
hk_village2	0.0	plane	249	5	1/6	0.0	0.3236	45119	42428
hk_village2	0.0	rust	249	10	2/6	0.0	0.0863	45119	45050
hk_village2	0.5	stock	249	6	1/6	1.3385	1.321	46901	43456
hk_village2	0.5	gated	249	6	1/6	1.3385	1.1026	46901	44867
hk_village2	0.5	plane	249	5	1/6	1.3385	1.1326	46901	44897
hk_village2	0.5	rust	249	10	1/6	1.3385	1.3996	46901	46914
hk_village2	1.0	stock	253	5	0/6	2.6641	2.1408	52515	47805
hk_village2	1.0	gated	253	5	0/6	2.6641	2.1442	52515	47908
hk_village2	1.0	plane	251	5	0/6	2.6544	2.2573	52515	47317
hk_village2	1.0	rust	251	10	0/6	2.6544	2.5386	52515	51925
hk_village2	2.0	stock	252	5	0/6	5.3699	5.1309	69948	68546
hk_village2	2.0	gated	252	5	0/6	5.3699	5.2864	69948	69591
hk_village2	2.0	plane	252	5	0/6	5.3699	4.9574	69948	67023
hk_village2	2.0	rust	252	6	0/6	5.3699	5.2616	69948	69045
hk_village3	0.0	stock	209	6	1/6	0.0	0.1259	18393	18419
hk_village3	0.0	gated	209	6	1/6	0.0	0.1862	18393	18909
hk_village3	0.0	plane	209	7	1/6	0.0	0.0469	18393	19587
hk_village3	0.0	rust	209	9	1/6	0.0	0.0791	18393	18539
hk_village3	0.5	stock	209	6	1/6	0.5245	0.5767	27513	27702
hk_village3	0.5	gated	209	6	1/6	0.5245	0.5015	27513	27027
hk_village3	0.5	plane	209	7	1/6	0.5245	0.7992	27513	30349
hk_village3	0.5	rust	209	9	0/6	0.5245	0.5156	27513	27348
hk_village3	1.0	stock	208	6	0/6	1.0397	1.0138	38757	38088
hk_village3	1.0	gated	208	6	0/6	1.0397	0.9769	38757	37469
hk_village3	1.0	plane	208	6	1/6	1.0397	1.0952	38757	39453
hk_village3	1.0	rust	208	9	1/6	1.0397	1.0474	38757	38860
hk_village3	2.0	stock	210	6	1/6	2.0619	1.9416	63705	60345
hk_village3	2.0	gated	210	6	1/6	2.0619	1.8864	63705	60142
hk_village3	2.0	plane	210	6	1/6	2.0626	2.0602	63705	63151
hk_village3	2.0	rust	210	7	0/6	2.0626	2.0591	63705	63722
hk_village4	0.0	stock	333	8	1/3	0.0	0.7624	16786	14206
hk_village4	0.0	gated	333	8	1/3	0.0	0.5882	16786	17668
hk_village4	0.0	plane	333	7	1/3	0.0	0.345	16786	15547
hk_village4	0.0	rust	333	12	1/3	0.0	0.3149	16786	16961
hk_village4	0.5	stock	327	6	1/3	1.4278	1.5895	27248	25841
hk_village4	0.5	gated	327	6	1/3	1.4278	1.3847	27248	27121
hk_village4	0.5	plane	327	6	1/3	1.4282	1.5282	27248	26117
hk_village4	0.5	rust	327	8	0/3	1.4282	1.2993	27248	26453
hk_village4	1.0	stock	330	5	1/3	2.8673	3.1149	38391	39930
hk_village4	1.0	gated	330	5	1/3	2.8673	3.1872	38391	40435
hk_village4	1.0	plane	330	5	1/3	2.8673	2.8701	38391	38387
hk_village4	1.0	rust	330	7	0/3	2.8674	2.8457	38391	38315
hk_village4	2.0	stock	365	6	1/3	5.6278	5.5169	61168	60663
hk_village4	2.0	gated	365	6	1/3	5.6278	5.6268	61168	61522
hk_village4	2.0	plane	365	6	1/3	5.6284	5.4595	61168	59069
hk_village4	2.0	rust	365	7	1/3	5.6287	5.6364	61168	61205
hk_village5	0.0	stock	286	8	1/6	0.0	0.1758	4877	5500
hk_village5	0.0	gated	286	7	1/6	0.0	0.2463	4877	6507
hk_village5	0.0	plane	286	8	1/6	0.0	0.1422	4877	5004
hk_village5	0.0	rust	286	9	2/6	0.0	0.1439	4877	5596
hk_village5	0.5	stock	290	7	2/6	0.4818	0.4804	7069	7761
hk_village5	0.5	gated	290	7	2/6	0.4818	0.5147	7069	7511
hk_village5	0.5	plane	290	7	1/6	0.4818	0.4446	7069	7109
hk_village5	0.5	rust	290	8	2/6	0.4818	0.4809	7069	7174
hk_village5	1.0	stock	294	7	1/6	0.9644	0.9385	9838	10986
hk_village5	1.0	gated	294	7	1/6	0.9644	0.926	9838	10256
hk_village5	1.0	plane	294	7	1/6	0.9644	0.9765	9838	11798
hk_village5	1.0	rust	294	9	2/6	0.9644	0.9604	9838	9931
