dataset	yaw_per_m	config	keyframes	loops	recall	ate_drift	ate_pgo	spread_drift	spread_pgo
hk_village1	0.0	stock	351	7	1/6	0.0	0.3785	18078	16903
hk_village1	0.0	gated	351	7	1/6	0.0	0.4384	18078	18798
hk_village1	0.0	ivan	351	7	1/6	0.0	0.7423	18078	26070
hk_village1	0.0	rust	372	14	1/6	0.0	0.4294	18078	18635
hk_village1	1.0	stock	361	7	1/6	1.4374	1.3104	40960	34392
hk_village1	1.0	gated	361	7	1/6	1.4374	1.3108	40960	34784
hk_village1	1.0	ivan	361	7	1/6	1.4374	1.1667	40960	28902
hk_village1	1.0	rust	378	13	1/6	1.4341	1.0259	40960	32049
hk_village2	0.0	stock	249	6	1/6	0.0	0.2069	45119	43057
hk_village2	0.0	gated	249	6	1/6	0.0	0.1825	45119	43476
hk_village2	0.0	ivan	249	5	1/6	0.0	0.3236	45119	42428
hk_village2	0.0	rust	262	10	2/6	0.0	0.4736	45119	43754
hk_village2	1.0	stock	253	5	0/6	2.6641	2.1408	52515	47805
hk_village2	1.0	gated	253	5	0/6	2.6641	2.1442	52515	47908
hk_village2	1.0	ivan	251	5	0/6	2.6544	2.2573	52515	47317
hk_village2	1.0	rust	268	10	1/6	2.6765	2.1446	52515	48530
hk_village3	0.0	stock	209	6	1/6	0.0	0.1259	18393	18419
hk_village3	0.0	gated	209	6	1/6	0.0	0.1862	18393	18909
hk_village3	0.0	ivan	209	7	1/6	0.0	0.0469	18393	19587
hk_village3	0.0	rust	220	8	1/6	0.0	0.4221	18393	22348
hk_village3	1.0	stock	208	6	0/6	1.0397	1.0138	38757	38088
hk_village3	1.0	gated	208	6	0/6	1.0397	0.9769	38757	37469
hk_village3	1.0	ivan	208	6	1/6	1.0397	1.0952	38757	39453
hk_village3	1.0	rust	227	7	0/6	1.0482	1.1969	38757	39738
hk_village4	0.0	stock	333	8	1/3	0.0	0.7624	16786	14206
hk_village4	0.0	gated	333	8	1/3	0.0	0.5882	16786	17668
hk_village4	0.0	ivan	333	7	1/3	0.0	0.345	16786	15547
hk_village4	0.0	rust	378	8	1/3	0.0	0.7225	16786	18324
hk_village4	1.0	stock	330	5	1/3	2.8673	3.1149	38391	39930
hk_village4	1.0	gated	330	5	1/3	2.8673	3.1872	38391	40435
hk_village4	1.0	ivan	330	5	1/3	2.8673	2.8701	38391	38387
hk_village4	1.0	rust	405	7	0/3	2.8395	2.5521	38391	36171
hk_village5	0.0	stock	286	8	1/6	0.0	0.1758	4877	5500
hk_village5	0.0	gated	286	7	1/6	0.0	0.2463	4877	6507
hk_village5	0.0	ivan	286	8	1/6	0.0	0.1422	4877	5004
hk_village5	0.0	rust	313	8	1/6	0.0	0.8142	4877	11968
hk_village5	1.0	stock	294	7	1/6	0.9644	0.9385	9838	10986
hk_village5	1.0	gated	294	7	1/6	0.9644	0.926	9838	10256
hk_village5	1.0	ivan	294	7	1/6	0.9644	0.9765	9838	11798
hk_village5	1.0	rust	329	8	2/6	1.0151	1.1422	9838	15524
hk_village6	0.0	stock	268	11	2/6	0.0	0.515	7486	6247
hk_village6	0.0	gated	268	11	2/6	0.0	0.4657	7486	5563
hk_village6	0.0	ivan	268	11	1/6	0.0	0.3173	7486	4605
hk_village6	0.0	rust	310	16	1/6	0.0	0.3715	7486	9353
hk_village6	1.0	stock	275	9	1/6	1.0939	1.0749	13887	14066
hk_village6	1.0	gated	275	9	0/6	1.0939	1.0213	13887	12042
hk_village6	1.0	ivan	275	9	0/6	1.0939	0.9591	13887	11070
hk_village6	1.0	rust	332	16	2/6	1.1034	0.9707	13887	11350
outdoor_small_loop	0.0	stock	1016	22	0/1	0.0	0.3093	88850	89366
outdoor_small_loop	0.0	gated	1016	21	0/1	0.0	0.1129	88850	89871
outdoor_small_loop	0.0	ivan	1015	23	0/1	0.0	0.043	88850	90397
outdoor_small_loop	0.0	rust	1015	22	0/1	0.0	0.6433	88850	110806
outdoor_small_loop	0.1	stock	1014	21	1/1	3.668	1.8422	174217	100368
outdoor_small_loop	0.1	gated	1014	20	0/1	3.668	2.1633	174217	98305
outdoor_small_loop	0.1	ivan	1013	22	0/1	3.6673	1.5188	174217	102317
outdoor_small_loop	0.1	rust	1013	20	0/1	3.6673	1.8927	174217	130177
outdoor_small_loop	0.3	stock	1031	11	0/1	11.1596	11.583	468287	380715
outdoor_small_loop	0.3	gated	1031	10	0/1	11.1596	10.592	468287	468165
outdoor_small_loop	0.3	ivan	1029	14	0/1	11.1552	11.226	468287	382572
outdoor_small_loop	0.3	rust	1029	12	0/1	11.1552	7.1972	468287	426771
